Date,Stock1,Stock2
03/13/87,845427,327361
03/20/87,853269,334858
03/27/87,848422,329504
04/03/87,855817,335838
04/10/87,850644,330298
04/17/87,842176,321273
04/24/87,841224,319974
05/01/87,851244,329261
05/08/87,847180,324305
05/15/87,845327,321972
05/22/87,848919,325075
05/29/87,846081,321261
06/05/87,847968,322233
06/12/87,848708,322624
06/19/87,849591,323162
06/26/87,852505,325733
07/03/87,853511,326322
07/10/87,852228,324241
07/17/87,848415,320085
07/24/87,852252,323081
07/31/87,858126,328456
08/07/87,852968,322458
08/14/87,854762,323912
08/21/87,862008,330720
08/28/87,862922,330951
09/04/87,867011,335040
09/11/87,866551,334232
09/18/87,867188,334134
09/25/87,870984,337589
10/02/87,869517,335623
10/09/87,866292,332398
10/16/87,869420,335192
10/23/87,873255,338294
10/30/87,885638,350333
11/06/87,890701,354594
11/13/87,893017,356496
11/20/87,896848,359537
11/27/87,894860,357153
12/04/87,897028,358481
12/11/87,898378,359831
12/18/87,900898,361847
12/25/87,900513,360355
01/01/88,895629,354970
01/08/88,883159,342166
01/15/88,883368,341883
01/22/88,882560,341075
01/29/88,879755,337323
02/05/88,881203,338483
02/12/88,876954,333742
02/19/88,885444,342232
02/26/88,889073,345417
03/04/88,890782,346636
03/11/88,891193,346550
03/18/88,894942,350299
03/25/88,893578,348651
04/01/88,894546,349619
04/08/88,900566,354787
04/15/88,900562,354378
04/22/88,905343,359159
04/29/88,902814,356124
05/06/88,908440,361182
05/13/88,911649,364391
05/20/88,913568,366310
05/27/88,909652,362055
06/03/88,911830,363892
06/10/88,910153,361243
06/17/88,914350,365440
06/24/88,912072,362711
07/01/88,913088,363391
07/08/88,911268,360864
07/15/88,906088,355340
07/22/88,902875,351832
07/29/88,904791,353446
08/05/88,902725,351078
08/12/88,900361,348714
08/19/88,895595,343948
08/26/88,891395,339254
09/02/88,886640,334499
09/09/88,885674,332638
09/16/88,879134,326098
09/23/88,874929,321385
09/30/88,881137,326991
10/07/88,880920,326774
10/14/88,886420,331771
10/21/88,891569,336409
10/28/88,893728,337725
11/04/88,899228,343227
11/11/88,896649,339805
11/18/88,905633,347953
11/25/88,901718,343539
12/02/88,899636,340966
12/09/88,904138,345465
12/16/88,899374,340207
12/23/88,895149,335982
12/30/88,894384,334871
01/06/89,887537,327629
01/13/89,885479,324718
01/20/89,889752,328566
01/27/89,890247,329061
02/03/89,897049,335187
02/10/89,889143,326459
02/17/89,890335,327307
02/24/89,889871,326497
03/03/89,899888,336004
03/10/89,899024,334795
03/17/89,904905,339327
03/24/89,904380,338802
03/31/89,894334,328756
04/07/89,893670,327446
04/14/89,889726,323019
04/21/89,900118,333411
04/28/89,904930,337500
05/05/89,915876,347868
05/12/89,918624,349714
05/19/89,912139,343229
05/26/89,910738,341318
06/02/89,915646,345244
06/09/89,912910,341998
06/16/89,910492,339580
06/23/89,914007,343095
06/30/89,907533,335812
07/07/89,908602,336541
07/14/89,907073,334216
07/21/89,906416,333214
07/28/89,908517,334472
08/04/89,909081,334691
08/11/89,906042,331654
08/18/89,915008,340620
08/25/89,914259,339527
09/01/89,914690,339314
